PersonID,Role,TypeOfRecording,Timestamp,ToolCall,Condition
4,Answer,TextCompletion,25.11.2024 14:06:00,null,ECA + Audio
4,Assistant,TTS,25.11.2024 14:06:00,null,ECA + Audio
4,Assistant,TTS,25.11.2024 14:06:02,null,ECA + Audio
4,System,TextCompletion,25.11.2024 14:06:15,null,ECA + Audio
4,Answer,TextCompletion,25.11.2024 14:06:16,null,ECA + Audio
4,Assistant,TTS,25.11.2024 14:06:16,null,ECA + Audio
4,Assistant,TTS,25.11.2024 14:06:18,null,ECA + Audio
4,User,Recording,25.11.2024 14:06:30,null,ECA + Audio
4,User,STT,25.11.2024 14:06:31,null,ECA + Audio
4,User,TextCompletion,25.11.2024 14:06:35,null,ECA + Audio
4,Tool,TextCompletion,25.11.2024 14:06:37,null,ECA + Audio
4,Answer,TextCompletion,25.11.2024 14:06:41,null,ECA + Audio
4,Assistant,TTS,25.11.2024 14:06:41,null,ECA + Audio
4,Assistant,TTS,25.11.2024 14:06:42,null,ECA + Audio
4,System,TextCompletion,25.11.2024 14:06:54,null,ECA + Audio
4,Answer,TextCompletion,25.11.2024 14:06:58,null,ECA + Audio
4,Assistant,TTS,25.11.2024 14:06:58,null,ECA + Audio
4,Assistant,TTS,25.11.2024 14:07:00,null,ECA + Audio
4,System,TextCompletion,25.11.2024 14:08:31,null,UI + Audio
4,System,TextCompletion,25.11.2024 14:08:31,null,UI + Audio
4,System,TextCompletion,25.11.2024 14:08:31,null,UI + Audio
4,System,TextCompletion,25.11.2024 14:08:31,null,UI + Audio
4,Answer,TextCompletion,25.11.2024 14:08:31,null,UI + Audio
4,Assistant,TTS,25.11.2024 14:08:31,null,UI + Audio
4,Assistant,TTS,25.11.2024 14:08:32,null,UI + Audio
4,System,TextCompletion,25.11.2024 14:08:40,null,UI + Audio
4,System,TextCompletion,25.11.2024 14:08:40,null,UI + Audio
4,Answer,TextCompletion,25.11.2024 14:08:42,null,UI + Audio
4,Assistant,TTS,25.11.2024 14:08:42,null,UI + Audio
4,Assistant,TTS,25.11.2024 14:08:43,null,UI + Audio
4,System,TextCompletion,25.11.2024 14:09:00,null,UI + Audio
4,System,TextCompletion,25.11.2024 14:09:00,null,UI + Audio
4,Answer,TextCompletion,25.11.2024 14:09:02,null,UI + Audio
4,Assistant,TTS,25.11.2024 14:09:02,null,UI + Audio
4,Assistant,TTS,25.11.2024 14:09:03,null,UI + Audio
4,System,TextCompletion,25.11.2024 14:09:21,null,UI + Audio
4,System,TextCompletion,25.11.2024 14:09:21,null,UI + Audio
4,Answer,TextCompletion,25.11.2024 14:09:22,null,UI + Audio
4,Assistant,TTS,25.11.2024 14:09:22,null,UI + Audio
4,Assistant,TTS,25.11.2024 14:09:26,null,UI + Audio
4,System,TextCompletion,25.11.2024 14:09:30,null,UI + Audio
4,Answer,TextCompletion,25.11.2024 14:09:31,null,UI + Audio
4,Assistant,TTS,25.11.2024 14:09:31,null,UI + Audio
4,Assistant,TTS,25.11.2024 14:09:33,null,UI + Audio
4,System,TextCompletion,25.11.2024 14:09:48,null,UI + Audio
4,Answer,TextCompletion,25.11.2024 14:09:50,null,UI + Audio
4,Assistant,TTS,25.11.2024 14:09:50,null,UI + Audio
4,Assistant,TTS,25.11.2024 14:09:56,null,UI + Audio
4,User,Recording,25.11.2024 14:09:59,null,UI + Audio
4,User,STT,25.11.2024 14:10:01,null,UI + Audio
